commitId,ADDITIONAL_FUNCTIONALITY,ADDITIONAL_OBJECT_STATE,ALTERNATIVE_PART_INSERT,COMMENT_INSERT,CONDITION_EXPRESSION_CHANGE,DOC_UPDATE,REMOVED_FUNCTIONALITY,STATEMENT_DELETE,STATEMENT_INSERT,STATEMENT_PARENT_CHANGE,STATEMENT_UPDATE,add,allow,fix,implement,remov,support,test,changedFiles,additions,deletions,results
03336a980d738426fb76202750befa48f3c1599e,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,49,46,2
0531b8bff5c14d9504beefb4ad47f473e3a22932,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2
0950c46beda335819928585f1262dfe1dca78a0b,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,103,0,0
0f92fdd8e6422d5b79c610a7fd8409d222315a49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,142,1,0
100f571c9a2835d5a30a55374b9be74c147e031f,0,0,1,2,1,0,6,0,10,0,3,0,0,0,1,0,0,0,2,39,213,1
12954a69895db8e60522c72557b93c53973dc436,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,110,103,2
135b6c13e03dbb519f8163f5ee5b2c8d7c87684c,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,5,4,2
169e7e06ea223bd3fdca2460b74e9cd361439fff,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,11,0,1
191f023cf5253ea90647bc091dcaf55ccdce81cc,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,25,0,1
1945713fd50d0e6740df94fb63358a0939105ab5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1
232612c800c2583da61b95397141040d3106efda,3,2,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,1,1,23,32,2
271eda44a52f5aa8dc1c9dac3679ec3fd0596eab,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,3,1,1
2b0b6845d3c96a4c784d5c0b1b211860909d2f23,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,143,0,0
